sample	chr	start_pos	end_pos
NCIH1694	chr1	231628231	231635662
NCIH1694	chr1	243267242	243322989
NCIH1694	chr1	243267242	243562720
NCIH1694	chr1	243267242	243947831
NCIH1694	chr1	243307771	243309481
NCIH1694	chr1	243375921	243376760
NCIH1694	chr1	243387687	243562720
NCIH1694	chr1	243387687	243947831
NCIH1694	chr1	243460343	243460802
NCIH1694	chr1	243472303	243476562
NCIH1694	chr1	243486637	243492223
NCIH1694	chr1	243505196	243508116
NCIH1694	chr1	243510279	243511997
NCIH1694	chr1	243535819	243537644
NCIH1694	chr1	243569011	243572270
NCIH1694	chr1	243604689	243608178
NCIH1694	chr1	243921071	243924789
NCIH1694	chr1	243940943	243942208
OVSAHO	chr13	78471086	78629540
RMGI	chr17	55605200	57012372
RMGI	chr17	55609430	56212902
RMGI	chr17	56722850	57012372
RMGI	chr17	57015498	57434295
RMGI	chr17	57015498	57610449
RMGI	chr17	57612553	57843738
MFE319	chr3	168954522	169088256
OE19	chr17	28938038	28945559
OE19	chr17	28938038	28972007
OE19	chr17	28938038	28972148
OE19	chr17	28945550	28948023
OE19	chr17	28956490	28972007
OE19	chr17	28956529	28972148
OE19	chr17	28972020	28972148
OE19	chr17	29025024	29069707
OE19	chr17	29025024	29100607
OE19	chr17	29025024	29117611
OE19	chr17	29064644	29117611
OE19	chr17	29064644	29233763
OE19	chr17	29069633	29117611
OE19	chr17	29077055	29100607
OE19	chr17	29103096	29117611
OE19	chr17	29123922	29156915
OE19	chr17	29123934	29157046
OE19	chr17	29134500	29156915
OE19	chr17	29134500	29157046
OE19	chr17	29156914	29156915
OE19	chr17	29156993	29157046
OE19	chr17	29214950	29233763
OE19	chr17	39670668	39719264
OE19	chr17	39670668	39764143
OE19	chr17	39670668	39764144
OE19	chr17	39670668	39764234
OE19	chr17	39670668	39801862
OE19	chr17	39719952	39763903
OE19	chr17	39719952	39764237
OE19	chr17	39764142	39764143
OE19	chr17	39764142	39764144
OE19	chr17	41603403	41661572
OE19	chr17	41603403	41689435
OE19	chr17	41603403	41758618
OE19	chr17	41610402	41666785
OE19	chr17	41610402	41686672
OE19	chr17	41610402	41687140
OE19	chr17	41665643	41689435
OE19	chr17	41689674	41758618
OE19	chr17	41725358	41749628
OE19	chr17	41725361	41726862
OE19	chr17	41727512	41749628
OE19	chr17	41727512	41835644
OE19	chr17	41730257	41736920
OE19	chr17	41730257	41835644
OE19	chr17	41751553	41758618
OE19	chr17	41751553	41835644
OE19	chr17	41796206	41835644
OE19	chr17	41816018	41835644
OE19	chr17	41821572	41835644
OE19	chr17	43309681	43312392
OE19	chr17	43312578	43312780
OE19	chr17	43312585	43312780
CHP212	chr2	11551950	12459662
CHP212	chr2	12462512	12757960
CHP212	chr2	12462512	12757961
CHP212	chr2	15582773	16072478
CHP212	chr2	15582775	16072478
KYSE520	chr5	118081799	118122550
KYSE520	chr5	118092065	118124047
KYSE520	chr14	54269849	54270079
HT1376	chr6	18995590	23480329
HT1376	chr6	31270418	31355365
HT1376	chr6	31328945	31337592
HT1376	chr16	10465618	13068311
UACC893	chr20	54557810	55859535
UACC893	chr20	55865560	63093345
UACC893	chr20	61273549	61274587
UACC893	chr20	63094245	63339944
UACC893	chr20	63492159	63492902
NCIH1869	chr5	52193819	52194119
NCIH1869	chr5	52194471	52194997
NCIH1869	chr5	53496863	53826932
NCIH1869	chr5	53501874	53829654
NCIH1869	chr5	53501893	53502418
NCIH1869	chr5	53502170	53826932
NCIH1869	chr5	53826783	53829654
NCIH1869	chr5	53826783	56133393
NCIH1869	chr5	53829681	56133393
NCIH1869	chr5	56134557	57600186
NCIH1869	chr5	56134557	57600258
NCIH1869	chr5	56134557	57600438
NCIH1869	chr5	57600262	57601164
NCIH1869	chr5	58543939	58547702
CORL279	chr5	713720	798799
CORL279	chr5	754402	847023
CORL311	chr5	1290102	1291618
CORL311	chr6	44214687	44220653
CORL311	chr6	105388947	106507120
CORL311	chr6	105511579	106134222
CORL311	chr6	105849799	105927342
CORL311	chr6	105880407	105884866
CORL311	chr6	105896339	105898849
CORL311	chr6	105908482	105912061
CORL311	chr6	105924781	106134222
CORL311	chr6	105984891	106764392
CORL311	chr6	106134265	106269343
CORL311	chr6	106134265	106398915
CORL311	chr6	106412070	106755141
CORL311	chr6	106412070	107196565
CORL311	chr6	106510507	107060155
CORL311	chr6	106754941	106755141
CORL311	chr6	106755158	107438513
CORL311	chr6	106860402	106861051
CORL311	chr6	107429146	107516392
CORL311	chr6	107514241	107514742
CORL311	chr8	127674190	127701728
CORL311	chr8	127702604	128049842
CORL311	chr8	127746115	127877216
CORL311	chr8	127809674	127810289
CORL311	chr8	128169281	128269315
CORL311	chr8	128356149	128356796
MKN7	chr17	39071328	39206231
MKN7	chr17	39173327	39198804
MKN7	chr17	39173327	39203433
MKN7	chr17	39179102	39203433
MKN7	chr17	39179102	39206231
MKN7	chr17	39179102	39721174
MKN7	chr17	39478939	39526060
MKN7	chr17	39478940	39527034
MKN7	chr17	39525942	39527034
MKN7	chr17	39560311	39593502
MKN7	chr17	39601883	39637013
MKN7	chr17	39619948	39721174
MKN7	chr17	39628500	39892106
MKN7	chr17	39696738	39721174
MKN7	chr17	39696785	39721174
MKN7	chr17	39697018	39738034
MKN7	chr17	39699489	39808970
MKN7	chr17	39760972	39761298
MKN7	chr17	39760972	39804656
MKN7	chr17	39770757	39775397
MKN7	chr17	39770757	39892106
MKN7	chr17	39855752	39881716
KATOIII	chr3	41056740	41290112
KATOIII	chr3	41286511	41286965
KATOIII	chr10	120316892	120379431
KATOIII	chr10	120316892	120422898
KATOIII	chr10	120318340	120323667
KATOIII	chr10	120319966	120422898
KATOIII	chr10	120319966	120467176
KATOIII	chr10	120326585	120330486
KATOIII	chr10	120335714	120345933
KATOIII	chr10	120347785	120354233
KATOIII	chr10	120366379	120371109
KATOIII	chr10	120372906	120377724
KATOIII	chr10	120403355	120411013
KATOIII	chr10	120421563	120422570
KATOIII	chr10	120469265	121561130
KATOIII	chr10	121137799	121325375
KATOIII	chr10	121138897	121147221
KATOIII	chr10	121159103	121163082
KATOIII	chr10	121167510	121171163
KATOIII	chr10	121181893	121189231
KATOIII	chr10	121212953	121218691
KATOIII	chr10	121219611	121225104
KATOIII	chr10	121258171	121263931
KATOIII	chr10	121283786	121290010
KATOIII	chr10	121295392	121300865
KATOIII	chr10	121331320	121619800
KATOIII	chr10	121331859	121340940
KATOIII	chr10	121456766	121463960
KATOIII	chr10	121467820	121470063
KATOIII	chr10	121480360	121561130
KATOIII	chr10	121480360	121715974
KATOIII	chr10	121483513	121489796
KATOIII	chr10	121490602	121496926
KATOIII	chr10	121497699	121505938
KATOIII	chr10	121516314	121528507
KATOIII	chr10	121535092	121543010
KATOIII	chr10	121563947	121565088
KATOIII	chr10	121590717	121596159
KATOIII	chr10	121607165	121611889
KATOIII	chr10	121619984	121715974
KATOIII	chr10	121664904	121669610
KATOIII	chr10	121706816	121710462
KATOIII	chr10	121713005	121714707
NCIH1184	chr1	37246537	37304043
NCIH1184	chr1	37246537	37316035
NCIH1184	chr1	37246537	38099187
NCIH1184	chr1	37246537	38283842
NCIH1184	chr1	37246621	37279055
NCIH1184	chr1	37280219	37317047
NCIH1184	chr1	37280219	38099187
NCIH1184	chr1	37317116	37903557
NCIH1184	chr1	37619285	37738500
NCIH1184	chr1	37795106	38099187
NCIH1184	chr1	38099473	38455055
NCIH1184	chr1	38100644	38267460
NCIH1184	chr1	38100644	38277690
NCIH1184	chr1	38245192	38737903
NCIH1184	chr1	38280748	38941579
NCIH1184	chr1	38456488	39290985
NCIH1184	chr1	38739532	38957469
NCIH1184	chr1	38944223	40087909
NCIH1184	chr1	38958468	39522932
NCIH1184	chr1	39376110	39539727
NCIH1184	chr1	39449203	39539727
NCIH1184	chr1	39492490	39539727
NCIH1184	chr1	39539750	39569571
NCIH1184	chr1	39539750	40759034
NCIH1184	chr1	39601800	39908356
NCIH1184	chr1	39606735	41017008
NCIH1184	chr1	39607421	39763212
NCIH1184	chr1	39612829	39908356
NCIH1184	chr1	39691685	39692856
NCIH1184	chr1	40087602	40087632
NCIH1184	chr1	40088676	41017008
NCIH1184	chr1	40199481	40397648
NCIH1184	chr1	40400230	41016922
NCIH1184	chr1	40588756	41016922
NCIH1184	chr1	40759073	41016922
NCIH1184	chr1	40893410	41017007
NCIH1184	chr1	40922163	41017007
NCIH1184	chr1	41016912	41016922
NCIH1693	chr4	53195492	53346407
NCIH1693	chr4	61186281	62597652
OAW42	chr3	11913015	12218368
OAW42	chr3	13651025	13653813
OAW42	chr3	76683099	77253897
OVCAR4	chr6	18348955	18349496
OVCAR4	chr6	18368179	18401858
OVCAR4	chr6	18402635	18574652
OVCAR4	chr6	18573546	18660429
OVCAR4	chr6	18607989	18660901
CAKI1	chr7	158392625	158425209
CAKI1	chr7	158392625	158474515
CAKI1	chr7	158425718	158474515
COLO668	chr1	39472080	39493345
COLO668	chr1	39472080	39632254
COLO668	chr1	39582083	39803736
COLO668	chr1	39583101	39632254
COLO668	chr1	39622601	39626700
COLO668	chr1	39658596	39739041
COLO668	chr1	39658596	40049715
COLO668	chr1	39665080	39669613
COLO668	chr1	39670563	39674730
COLO668	chr1	39747732	39787208
COLO668	chr1	39747732	40048753
COLO668	chr1	39752121	39758238
COLO668	chr1	39812141	39955609
COLO668	chr1	39839327	39843854
COLO668	chr1	39896157	39901322
COLO668	chr1	39924137	39928054
COLO668	chr1	39939386	39946337
COLO668	chr1	39971026	40015458
COLO668	chr1	40038113	40041457
COLO668	chr1	40107010	40113146
COLO668	chr1	40125592	40160099
COLO668	chr1	40145265	40148681
COLO668	chr1	40146918	40235914
COLO668	chr1	40186534	40187835
COLO668	chr1	40305343	40375828
COLO668	chr1	40371557	40373052
COLO668	chr1	40431350	40483815
COLO668	chr1	40455304	40483815
COLO668	chr1	40522673	40538857
COLO668	chr1	40586254	40603452
COLO668	chr1	40586254	40720177
COLO668	chr1	40625590	40710572
COLO668	chr1	40696738	40698244
COLO668	chr1	40725302	40735602
HCC1419	chr8	80810974	81132783
HCC1419	chr8	81134388	81648199
HCC1419	chr8	81134388	81997459
HCC1419	chr8	81134388	82009933
HCC1419	chr8	81134388	83146028
HCC1419	chr8	81246267	83146028
HCC1419	chr8	81406071	81997459
HCC1419	chr8	81647879	81648931
HCC1419	chr8	81658900	82009933
HCC1419	chr8	81992195	83146028
HCC1419	chr8	81999345	82037723
HCC1419	chr8	82013348	82522398
HCC1419	chr8	82013348	83146028
HCC1419	chr8	82039893	82061002
HCC1419	chr8	82039893	83146028
HCC1419	chr8	82715802	83146028
HCC1419	chr8	87281194	87438276
HCC1419	chr8	87281194	87776994
HCC1419	chr8	87281194	88133965
HCC1419	chr8	87281194	88719069
HCC1419	chr8	87281194	89141639
HCC1419	chr8	88391521	89143075
HCC1419	chr8	89137435	89140199
HCC1419	chr8	89140228	89141639
HCC1419	chr8	89140228	89714501
HCC1419	chr8	89141881	89143075
HCC1419	chr8	89495519	89499491
HCC1419	chr8	89684982	89710629
HCC1419	chr8	89704840	89707785
HCC1419	chr8	89710260	89710629
HCC1419	chr8	89710260	89714501
HCC1419	chr8	89710935	91229198
HCC1419	chr8	92174442	92175123
HCC1419	chr8	92174442	92182060
HCC1419	chr8	92178969	92186866
HCC1419	chr8	92178969	93060098
HCC1419	chr8	92178969	93627261
HCC1419	chr8	92185014	92186866
HCC1419	chr8	93064964	93645322
HCC1419	chr8	93467797	93484741
HCC1419	chr8	97638325	100084095
HCC1419	chr8	100215489	101968067
HCC1419	chr8	104440486	106796080
HCC1419	chr8	105434836	105698512
HCC1419	chr8	110877394	110877523
HCC1419	chr8	113817696	113838918
HCC1419	chr8	113817696	113859134
HCC1419	chr8	114102481	114119541
HCC1419	chr8	114932125	114985539
HCC1419	chr8	114986137	115286242
HCC1419	chr8	116582164	117475490
HCC1419	chr8	117833541	120525802
HCC1419	chr8	120121749	120525802
HCC1419	chr8	120317286	120696290
HCC1419	chr8	120317286	121831640
HCC1419	chr8	121720558	122101274
HCC1419	chr8	121779904	121859377
HCC1419	chr8	121991900	122101274
HCC1419	chr8	122064978	122808351
HCC1419	chr8	122102832	122405196
HCC1419	chr8	122303892	122808351
HCC1419	chr8	123010220	125582884
HCC1419	chr8	124380860	124486619
HCC1419	chr8	125588890	126179960
HCC1419	chr8	126182327	128452922
HCC1419	chr8	126998817	128452922
HCC1419	chr8	128459019	128906106
HCC1419	chr8	128459019	129558964
HCC1419	chr8	128459019	130395929
HCC1419	chr8	128902099	130395929
HCC1419	chr8	130340750	130395929
HCC1419	chr8	139003367	139062052
HCC1419	chr8	139003367	139088698
HCC1419	chr8	140319540	140452380
HCC1419	chr8	141008664	141066811
HCC1419	chr8	141097131	142057179
HCC1419	chr8	141157826	142413400
HCC1419	chr8	141982821	141983916
HCC1419	chr8	142162962	142164447
HCC1419	chr8	142414318	144261314
HCC1419	chr8	142878453	142916356
HCC1419	chr8	143853259	143853364
HCC1419	chr8	144021087	144021662
HCC1419	chr8	144022974	144024134
HCC1419	chr8	144023324	144024871
HCC1419	chr17	39530968	39798136
HCC1419	chr17	39584666	39798136
HCC1419	chr17	48538268	48539857
HCC1419	chr17	48664668	49162363
HCC1419	chr17	49150894	49274432
HCC1419	chr17	49159140	49274432
HCC1419	chr17	49275687	49669495
HCC1419	chr17	49275687	50414462
HCC1419	chr17	49311764	49450197
HCC1419	chr17	49557579	49560665
HCC1419	chr17	49560892	49564439
HCC1419	chr20	42069079	42072281
HCC1419	chr20	44675621	44710393
HCC1419	chr20	47895009	47895845
HCC1419	chr20	48505174	48514821
HCC1419	chr20	48516271	48516419
HCC1419	chr20	49448996	49802964
HCC1419	chr20	49713938	49714065
HCC1419	chr20	50243820	51182239
HCC1419	chr20	51544314	51572840
HCC1419	chr20	51546005	51572376
HCC1419	chr20	53152709	53715420
HCC1419	chr20	58629246	59464367
HCC1419	chr20	59290821	59378520
HCC1419	chr20	59291690	59385289
HCC1419	chr20	62286558	62288513
HCC1419	chr20	62288512	62288513
HCC1419	chr20	62662833	62671290
HCC1419	chr20	62671407	62672845
HCC1419	chr20	63631155	63636887
HCC1419	chr20	63631155	63751367
HCC1419	chr20	63637081	63640775
HCC1419	chr20	63637081	63643033
HCC1419	chr20	63641828	63643033
HCC1419	chr20	63644875	63701179
HCC1419	chr20	63694568	63751367
HCC1419	chr20	63764415	63964864
HCC1419	chr20	63925969	63964864
HCC1419	chr20	63966082	64037893
HCC1419	chr20	64040270	64045659
NCIH2066	chr3	150959088	151000102
NCIH2066	chr3	151000321	151010001
ES2	chr4	221217	225279
ES2	chr4	1679101	1799395
ES2	chr4	1679101	2010173
ES2	chr4	33016428	33016691
ES2	chr11	69046023	69296848
ES2	chr11	69296859	69423821
ES2	chr11	69296859	69641299
ES2	chr11	69296859	69729537
ES2	chr11	69507435	69643808
ES2	chr11	69642798	69875450
ES2	chr11	69720884	70552331
ES2	chr11	69745096	70293478
ES2	chr11	70282094	70288899
ES2	chr11	70289056	70626485
ES2	chr11	71406159	71409199
ES2	chr11	71406277	71406642
ES2	chr11	71407108	71407225
ES2	chr11	71407108	71409199
ES2	chr11	71408830	71410956
ES2	chr11	71410468	71410875
ES2	chr11	71410694	71410875
ES2	chr11	71410694	71450923
ES2	chr11	71410694	71509392
ES2	chr11	71410694	71611994
ES2	chr11	71414277	71450429
ES2	chr11	71506014	71545792
ES2	chr11	71602359	71611994
ES2	chr11	71602359	71613275
ES2	chr11	71613093	71613275
ES2	chr11	71613093	71622656
ES2	chr11	75510014	75546944
ES2	chr11	75536405	75546944
ES2	chr11	89264348	89265706
ES2	chr11	89266491	89267008
ES2	chr11	90851966	90852387
ES2	chr11	90853120	90871821
ES2	chr11	90853120	91865821
ES2	chr11	90853120	92595481
ES2	chr11	92600234	92606979
ES2	chr11	92604634	92606979
ES2	chr11	96078401	96080614
ES2	chr11	98728345	98728426
ES2	chr11	99226447	99385813
ES2	chr11	99385168	99385813
ES2	chr11	99385168	99615761
ES2	chr11	99385168	100264689
ES2	chr11	99427166	99807250
ES2	chr11	99809430	100668470
ES2	chr11	99925734	99925986
ES2	chr11	100003847	100083909
ES2	chr11	100083738	100148934
ES2	chr11	100083738	101216352
ES2	chr11	100148847	100162974
ES2	chr11	100158483	100162974
ES2	chr11	100329240	100662882
ES2	chr11	100639941	100659919
ES2	chr11	100662288	101422384
ES2	chr11	100687497	101925111
ES2	chr11	100731080	100943988
ES2	chr11	101421591	101762998
ES2	chr11	101862648	101964377
ES2	chr11	101953152	101964377
ES2	chr11	102009446	102101445
ES2	chr11	102109617	102110025
ES2	chr11	102109659	102214039
ES2	chr11	102109659	103528365
ES2	chr11	102984982	103528365
ES2	chr11	103528699	103678075
NCIH2171	chr8	60782230	60991743
NCIH2171	chr8	60782230	61026880
NCIH2171	chr8	60782230	61714245
NCIH2171	chr8	60791497	60792677
NCIH2171	chr8	60849562	60851684
NCIH2171	chr8	60921261	60922846
NCIH2171	chr8	60989515	62210735
NCIH2171	chr8	60992591	60994121
NCIH2171	chr8	61011951	61013654
NCIH2171	chr8	61015177	61017133
NCIH2171	chr8	61042424	61045407
NCIH2171	chr8	61070278	61071901
NCIH2171	chr8	61075008	61075774
NCIH2171	chr8	61694680	61696099
NCIH2171	chr8	62194648	62195129
NCIH2171	chr8	62287103	62309875
NCIH2171	chr8	62312493	62622416
NCIH2171	chr8	62393848	62402595
NCIH2171	chr8	62431330	63013110
NCIH2171	chr8	62431330	63013168
NCIH2171	chr8	62431924	62432644
NCIH2171	chr8	62614203	62615307
NCIH2171	chr8	62961246	63013110
NCIH2171	chr8	62961246	63329549
NCIH2171	chr8	63205377	63324838
NCIH2171	chr8	126572516	126834578
NCIH2171	chr8	126587164	126696288
NCIH2171	chr8	126587164	126834578
NCIH2171	chr8	126629816	126698507
NCIH2171	chr8	126641544	126642735
NCIH2171	chr8	126696210	126698507
NCIH2171	chr8	126696287	127941248
NCIH2171	chr8	126703816	126706445
NCIH2171	chr8	126715097	126859789
NCIH2171	chr8	126772380	126774436
NCIH2171	chr8	126786020	126787382
NCIH2171	chr8	126832420	126833995
NCIH2171	chr8	126834905	126859790
NCIH2171	chr8	126834905	126895745
NCIH2171	chr8	126860787	126940776
NCIH2171	chr8	126860787	127276400
NCIH2171	chr8	126881600	127046943
NCIH2171	chr8	126896972	126898669
NCIH2171	chr8	127055047	127358647
NCIH2171	chr8	127160161	127161521
NCIH2171	chr8	127276325	127342283
NCIH2171	chr8	127276401	127342283
NCIH2171	chr8	127342323	127358647
NCIH2171	chr8	127342323	127405884
NCIH2171	chr8	127388498	127389431
NCIH2171	chr8	127399951	127404201
NCIH2171	chr8	127406912	127409297
NCIH2171	chr8	127552621	127553187
NCIH2171	chr8	127628123	127628588
NCIH2171	chr8	127693244	127695428
NCIH2171	chr8	127716473	127941248
NCIH2171	chr8	127716944	127941248
NCIH2171	chr8	127872827	127875438
NCIH2171	chr8	127892400	127894800
NCIH2171	chr8	127933488	127934325
NCIH2171	chr11	84990703	86701081
NCIH2171	chr11	84990703	86711246
NCIH2171	chr11	85959650	86701083
NCIH2171	chr11	86128920	86129351
NCIH2171	chr11	86391762	86711309
NCIH2171	chr11	86549108	86549997
NCIH2171	chr11	86671789	86672296
NCIH2171	chr11	86711279	86712405
NCIH2171	chr11	86712307	86712405
NCIH2171	chr12	1688558	1689078
NCIH2171	chr12	3478290	4335664
NCIH2171	chr12	5588915	5702131
NCIH2171	chr12	5701892	7083649
NCIH2171	chr12	6620606	6621054
NCIH2171	chr12	6639797	6640386
NCIH2171	chr12	6657025	6664535
NCIH2171	chr12	6663870	6664014
NCIH2171	chr12	6664326	7083649
NCIH2171	chr12	6665129	6665730
NCIH2171	chr12	6665129	7083649
NCIH2171	chr12	6721089	7083649
NCIH2171	chr12	7084650	7340432
NCIH2171	chr12	7084650	7798726
NCIH2171	chr12	7084650	7813251
NCIH2171	chr12	7084650	7882959
NCIH2171	chr12	7324596	7325773
NCIH2171	chr12	7905604	8405889
NCIH2171	chr12	8376360	8405889
NCIH2171	chr12	8415641	8421497
NCIH2171	chr12	8442203	8518703
NCIH2171	chr12	20994132	21642169
NCIH2171	chr12	21500695	21531523
NCIH2171	chr12	21684250	21725679
NCIH2171	chr12	27279891	27495210
NCIH2171	chr12	27450856	27495210
NCIH2171	chr12	27502226	28144835
NCIH2171	chr12	27502226	29342867
NCIH2171	chr12	27920740	27921675
NCIH2171	chr12	28034421	28035516
NCIH2171	chr12	28133507	28134946
NCIH2171	chr12	28291862	28292414
NCIH2171	chr12	28376597	28377022
NCIH2171	chr12	28575923	28576355
NCIH2171	chr12	28801411	28801968
NCIH2171	chr13	22548970	22550204
NCIH2171	chr13	22549543	22549548
NCIH2171	chr13	57620658	57620812
NCIH2171	chr14	21191244	21192850
NCIH2171	chr14	22706973	22820496
NCIH2171	chr14	22710466	22710886
NCIH524	chr8	120528251	120544067
NCIH524	chr8	120528286	120544067
NCIH524	chr8	125645887	125646393
NCIH524	chr8	125645887	125975292
NCIH524	chr8	125645887	126075318
NCIH524	chr8	125648178	125775901
NCIH524	chr8	125755801	125760774
NCIH524	chr8	125776923	125832391
NCIH524	chr8	125835708	126038127
NCIH524	chr8	125975897	126083633
NCIH524	chr8	126039414	126075318
NCIH524	chr8	126082431	126300898
NCIH524	chr8	126082431	126437048
NCIH524	chr8	126360285	126437048
NCIH524	chr8	126360285	126513880
NCIH524	chr8	126361440	126514396
NCIH524	chr8	126433272	126435034
NCIH524	chr8	127229750	127365108
NCIH524	chr8	127229750	127725176
NCIH524	chr8	127250681	127365108
NCIH524	chr8	127366072	127552844
NCIH524	chr8	127578678	127583273
NCIH524	chr8	127578678	127914136
NCIH524	chr8	127585380	127796006
NCIH524	chr8	127775383	127880678
NCIH524	chr8	127775383	127914136
KYSE520	chr13	73044573	73768087
OSRC2	chr5	683737	775784
OSRC2	chr5	754020	847040
MDAMB453	chr3	195692876	195944680
